# Tutus profili yedegi — 2026-08-05 11:56:54
# bicim: ad|posX,posY,posZ|eulerX,eulerY,eulerZ   (ondalik NOKTA)
Dmr1_GripProfile|0.0079,0.1204,0.3254|313.3569,217.8912,348.529
Grenade 1_GripProfile|0.037,0.0581,-0.0661|304.2289,69.95349,330.1151
Grenade 2_GripProfile|-0.0643,0.0757,-0.0524|316.7727,174.7381,314.1065
Grenade 3_GripProfile|-0.0701,0.0788,0.0645|321.0675,248.0856,329.5024
HK416_GripProfile|0.02483529,0.01505761,0.01884263|296.5371,287.9833,1.873233
NetworkPlayer_GripProfile|0,0,0|57.3028,58.11551,-3.160958E-06
Paintball_GripProfile|-0.02,-0.06,0|0,90,0
Pistol 2_GripProfile|-0.04898438,0.07223814,0.1284564|302.6097,206.1595,349.6317
Pistol3_GripProfile|-0.0485,0.0768,0.1157|304.9236,227.0181,334.014
Pistol4_GripProfile|-0.0493,0.0967,0.138|307.2158,218.2931,356.1327
Pistol_GripProfile|-0.0278,0.0844,-0.0059|300.6761,232.6344,333.0594
Rifle 2_GripProfile|-0.1387,0.1542,0.1179|326.4646,221.1888,348.6265
Rifle1_GripProfile|-0.0525,0.1487,0.2366|301.7868,222.2209,344.1611
Rifle3_GripProfile|-0.0364,0.1055,0.1505|320.7066,237.6589,346.4845
Shotgun 2_GripProfile|-0.0502,0.0774,0.2188|318.1182,229.3647,342.1566
Shotgun1_GripProfile|1.1269E-07,0.1390429,-0.2595748|312.9881,214.7636,345.5506
Smg 3_GripProfile|-0.0562,0.0811,0.1558|316.1598,225.2089,342.9766
Smg1_GripProfile|0.1205,0.0915,-0.1315|316.8984,37.97575,358.9693
Smg2_GripProfile|-0.03806056,0.07960925,0.01129663|302.2844,204.3108,349.5192
Sniper1_GripProfile|-0.0593,0.1405,0.3329|314.5159,225.6366,341.6418
