# Tutus profili yedegi — 2026-08-06 16:20:45
# bicim: ad|posX,posY,posZ|eulerX,eulerY,eulerZ   (ondalik NOKTA)
Dmr1_GripProfile|0.0079,0.1204,0.3254|304.4055,214.5229,339.9826
Grenade 1_GripProfile|0.037,0.0581,-0.0661|304.2289,69.95349,330.1151
Grenade 2_GripProfile|-0.0643,0.0757,-0.0524|316.7727,174.7381,314.1065
Grenade 3_GripProfile|-0.0701,0.0788,0.0645|321.0675,248.0856,329.5024
HK416_GripProfile|0.02483529,0.01505761,0.01884263|296.5371,287.9833,1.873233
NetworkPlayer_GripProfile|0,0,0|57.3028,58.11551,-3.160958E-06
Paintball_GripProfile|-0.02,-0.06,0|303.117,121.5601,343.5459
Pistol 2_GripProfile|-0.04898438,0.07223814,0.1284564|302.6097,206.1595,349.6317
Pistol3_GripProfile|-0.0485,0.0768,0.1157|303.6283,212.7937,342.0687
Pistol4_GripProfile|-0.0493,0.0967,0.138|302.5833,210.1775,345.1916
Pistol_GripProfile|-0.0278,0.0844,-0.0059|303.9471,213.5229,341.1913
Rifle 2_GripProfile|-0.1387,0.1542,0.1179|309.3011,222.6934,329.7906
Rifle1_GripProfile|-0.0525,0.1487,0.2366|303.2855,211.9758,343.049
Rifle3_GripProfile|-0.0364,0.1055,0.1505|303.2696,211.937,343.0954
Shotgun 2_GripProfile|-0.0502,0.0774,0.2188|303.3014,212.0145,343.0027
Shotgun1_GripProfile|1.1269E-07,0.1390429,-0.2595748|305.5807,216.8597,337.1305
Smg 3_GripProfile|-0.0562,0.0811,0.1558|303.8794,213.3704,341.375
Smg1_GripProfile|0.1205,0.0915,-0.1315|302.448,29.80963,345.6278
Smg2_GripProfile|-0.03806056,0.07960925,0.01129663|302.2844,204.3108,349.5192
Sniper1_GripProfile|-0.0593,0.1405,0.3329|303.0387,211.3636,343.7803
